Column1,date,client_id,province,incident_type,status
INC600038,2025/10/01,CL1060,Gauteng,Assault,escalated
INC600039,2025/04/26,CL1072,Gauteng,Hijacking,reported
INC600040,2025/09/06,CL1280,Free State,Suspicious Vehicle,in_progress
INC600041,2025/07/31,CL1376,Mpumalanga,Alarm Trigger,resolved
INC600042,2025/04/08,CL1317,North West,Vandalism,reported
INC600043,2025/05/17,CL1244,Limpopo,Suspicious Vehicle,escalated
INC600044,2025/08/12,CL1327,North West,Assault,reported
INC600045,2025/09/16,CL1287,Free State,Trespass,escalated
INC600046,2025/07/12,CL1123,KwaZulu-Natal,Accident,reported
INC600047,2025/08/31,CL1252,Free State,Hijacking,in_progress
INC600048,2025/05/03,CL1058,Gauteng,VIP Threat,resolved
INC600049,2025/07/04,CL1079,Gauteng,Protest,resolved
INC600050,2025/06/03,CL1393,Mpumalanga,Alarm Trigger,escalated
INC600051,2025/05/26,CL1178,Western Cape,Vandalism,in_progress
INC600052,2025/09/01,CL1251,Free State,Suspicious Vehicle,resolved
INC600053,2025/06/12,CL1141,KwaZulu-Natal,Trespass,escalated
INC600054,2025/06/27,CL1165,Western Cape,Vandalism,resolved
INC600055,2025/05/19,CL1067,Gauteng,Theft,resolved
INC600056,2025/04/27,CL1114,KwaZulu-Natal,Trespass,in_progress
INC600057,2025/06/29,CL1217,Limpopo,Hijacking,resolved
INC600058,2025/07/13,CL1093,Gauteng,Assault,resolved
INC600059,2025/05/12,CL1313,North West,Protest,in_progress
INC600060,2025/06/07,CL1328,North West,Suspicious Vehicle,reported
INC600061,2025/05/21,CL1054,Gauteng,Vandalism,in_progress
INC600062,2025/07/08,CL1029,Gauteng,Protest,reported
INC600063,2025/04/23,CL1164,Western Cape,Alarm Trigger,resolved
INC600064,2025/05/27,CL1206,Limpopo,Assault,resolved
INC600065,2025/08/01,CL1082,Gauteng,Assault,resolved
INC600066,2025/05/11,CL1181,Western Cape,Assault,escalated
INC600067,2025/09/20,CL1068,Gauteng,Protest,in_progress
INC600068,2025/06/27,CL1156,Western Cape,Theft,reported
INC600069,2025/04/06,CL1397,Mpumalanga,Hijacking,reported
INC600070,2025/08/19,CL1237,Limpopo,Assault,in_progress
INC600071,2025/09/21,CL1237,Limpopo,Accident,escalated
INC600072,2025/06/04,CL1328,North West,Trespass,escalated
INC600073,2025/05/26,CL1250,Free State,Hijacking,escalated
INC600074,2025/06/05,CL1109,KwaZulu-Natal,Hijacking,reported
INC600075,2025/04/17,CL1192,Western Cape,Vandalism,reported
INC600076,2025/09/06,CL1045,Gauteng,Vandalism,reported
INC600077,2025/09/12,CL1186,Western Cape,Protest,escalated
INC600078,2025/04/25,CL1283,Free State,Protest,resolved
INC600079,2025/08/21,CL1002,Gauteng,Alarm Trigger,reported
INC600080,2025/08/02,CL1255,Free State,Theft,escalated
INC600081,2025/07/22,CL1270,Free State,Trespass,resolved
INC600082,2025/06/27,CL1329,North West,Suspicious Vehicle,reported
INC600083,2025/04/28,CL1324,North West,Trespass,reported
INC600084,2025/09/22,CL1178,Western Cape,Hijacking,in_progress
INC600085,2025/04/29,CL1223,Limpopo,Vandalism,reported
INC600086,2025/06/22,CL1173,Western Cape,Vandalism,reported
INC600087,2025/09/03,CL1341,North West,Suspicious Vehicle,resolved
INC600088,2025/05/27,CL1174,Western Cape,Protest,in_progress
INC600089,2025/05/06,CL1049,Gauteng,VIP Threat,in_progress
INC600090,2025/07/08,CL1331,North West,Protest,escalated
INC600091,2025/04/25,CL1108,KwaZulu-Natal,Alarm Trigger,reported
INC600092,2025/05/19,CL1348,North West,Theft,escalated
INC600093,2025/05/17,CL1102,KwaZulu-Natal,Theft,resolved
INC600094,2025/06/09,CL1126,KwaZulu-Natal,Alarm Trigger,resolved
INC600095,2025/08/04,CL1113,KwaZulu-Natal,Vandalism,in_progress
INC600096,2025/08/30,CL1176,Western Cape,Hijacking,in_progress
INC600097,2025/05/17,CL1193,Western Cape,Protest,in_progress
INC600098,2025/06/09,CL1033,Gauteng,Trespass,reported
INC600099,2025/06/30,CL1269,Free State,Suspicious Vehicle,reported
INC600100,2025/08/31,CL1258,Free State,Accident,resolved
INC600101,2025/08/31,CL1336,North West,Alarm Trigger,escalated
INC600102,2025/06/20,CL1184,Western Cape,Assault,escalated
INC600103,2025/05/09,CL1264,Free State,Suspicious Vehicle,in_progress
INC600104,2025/07/14,CL1350,Mpumalanga,Trespass,reported
INC600105,2025/07/03,CL1182,Western Cape,VIP Threat,escalated
INC600106,2025/07/03,CL1269,Free State,Assault,reported
INC600107,2025/06/05,CL1045,Gauteng,Assault,resolved
INC600108,2025/08/18,CL1123,KwaZulu-Natal,Protest,resolved
INC600109,2025/07/24,CL1305,North West,Hijacking,reported
INC600110,2025/06/19,CL1212,Limpopo,Accident,reported
INC600111,2025/08/13,CL1124,KwaZulu-Natal,Vandalism,in_progress
INC600112,2025/08/15,CL1199,Western Cape,Assault,reported
INC600113,2025/09/03,CL1167,Western Cape,VIP Threat,resolved
INC600114,2025/07/28,CL1130,KwaZulu-Natal,Suspicious Vehicle,escalated
INC600115,2025/06/24,CL1185,Western Cape,Protest,reported
INC600116,2025/05/01,CL1389,Mpumalanga,VIP Threat,escalated
INC600117,2025/04/21,CL1043,Gauteng,Protest,resolved
INC600118,2025/06/14,CL1322,North West,Hijacking,in_progress
INC600119,2025/07/12,CL1321,North West,Theft,in_progress
INC600120,2025/04/08,CL1310,North West,Accident,resolved
INC600121,2025/07/04,CL1336,North West,Hijacking,resolved
INC600122,2025/06/03,CL1005,Gauteng,Suspicious Vehicle,in_progress
INC600123,2025/04/24,CL1129,KwaZulu-Natal,Suspicious Vehicle,reported
INC600124,2025/07/01,CL1155,Western Cape,Theft,resolved
INC600125,2025/04/12,CL1387,Mpumalanga,Theft,in_progress
INC600126,2025/06/04,CL1227,Limpopo,Hijacking,escalated
INC600127,2025/09/16,CL1315,North West,Assault,in_progress
INC600128,2025/08/07,CL1071,Gauteng,Protest,in_progress
INC600129,2025/05/03,CL1383,Mpumalanga,Assault,reported
INC600130,2025/04/19,CL1389,Mpumalanga,Vandalism,reported
INC600131,2025/09/28,CL1092,Gauteng,Assault,resolved
INC600132,2025/05/13,CL1013,Gauteng,Theft,escalated
INC600133,2025/06/07,CL1152,Western Cape,Trespass,escalated
INC600134,2025/09/18,CL1133,KwaZulu-Natal,Trespass,in_progress
INC600135,2025/05/18,CL1090,Gauteng,Assault,resolved
INC600136,2025/09/28,CL1347,North West,Alarm Trigger,reported
INC600137,2025/07/15,CL1086,Gauteng,Vandalism,resolved
INC600138,2025/06/23,CL1225,Limpopo,Assault,escalated
INC600139,2025/09/19,CL1341,North West,Theft,in_progress
INC600140,2025/09/17,CL1248,Limpopo,Alarm Trigger,in_progress
INC600141,2025/04/21,CL1383,Mpumalanga,Theft,reported
INC600142,2025/07/09,CL1101,KwaZulu-Natal,VIP Threat,reported
INC600143,2025/07/02,CL1068,Gauteng,Suspicious Vehicle,resolved
INC600144,2025/09/29,CL1276,Free State,Hijacking,in_progress
INC600145,2025/04/10,CL1025,Gauteng,Accident,resolved
INC600146,2025/09/17,CL1060,Gauteng,Vandalism,in_progress
INC600147,2025/04/12,CL1185,Western Cape,Protest,resolved
INC600148,2025/04/12,CL1135,KwaZulu-Natal,Vandalism,in_progress
INC600149,2025/05/23,CL1125,KwaZulu-Natal,Trespass,in_progress
INC600150,2025/07/24,CL1391,Mpumalanga,Accident,in_progress
INC600151,2025/08/07,CL1223,Limpopo,Protest,reported
INC600152,2025/08/21,CL1145,KwaZulu-Natal,Protest,reported
INC600153,2025/04/10,CL1248,Limpopo,Hijacking,escalated
INC600154,2025/08/30,CL1224,Limpopo,Theft,escalated
INC600155,2025/06/01,CL1094,Gauteng,Hijacking,in_progress
INC600156,2025/06/14,CL1026,Gauteng,Trespass,reported
INC600157,2025/04/27,CL1329,North West,Suspicious Vehicle,resolved
INC600158,2025/07/07,CL1116,KwaZulu-Natal,Trespass,resolved
INC600159,2025/09/21,CL1180,Western Cape,Vandalism,resolved
INC600160,2025/05/17,CL1020,Gauteng,Vandalism,resolved
INC600161,2025/04/12,CL1135,KwaZulu-Natal,Hijacking,in_progress
INC600162,2025/04/23,CL1289,Free State,Alarm Trigger,in_progress
INC600163,2025/09/08,CL1150,Western Cape,Hijacking,escalated
INC600164,2025/04/26,CL1171,Western Cape,Protest,escalated
INC600165,2025/09/08,CL1097,Gauteng,Hijacking,in_progress
INC600166,2025/07/24,CL1052,Gauteng,Accident,resolved
INC600167,2025/05/05,CL1305,North West,Suspicious Vehicle,in_progress
INC600168,2025/07/23,CL1266,Free State,Theft,reported
INC600169,2025/04/09,CL1389,Mpumalanga,Hijacking,resolved
INC600170,2025/05/19,CL1367,Mpumalanga,Alarm Trigger,in_progress
INC600171,2025/09/04,CL1366,Mpumalanga,Alarm Trigger,resolved
INC600172,2025/05/27,CL1009,Gauteng,Alarm Trigger,escalated
INC600173,2025/07/25,CL1295,Free State,Theft,in_progress
INC600174,2025/06/05,CL1255,Free State,Accident,in_progress
INC600175,2025/04/15,CL1265,Free State,Theft,escalated
INC600176,2025/05/21,CL1060,Gauteng,Protest,resolved
INC600177,2025/05/07,CL1355,Mpumalanga,Suspicious Vehicle,reported
INC600178,2025/06/04,CL1095,Gauteng,VIP Threat,escalated
INC600179,2025/06/23,CL1152,Western Cape,Trespass,escalated
INC600180,2025/08/07,CL1276,Free State,Assault,resolved
INC600181,2025/04/23,CL1042,Gauteng,Assault,in_progress
INC600182,2025/06/23,CL1116,KwaZulu-Natal,Alarm Trigger,in_progress
INC600183,2025/08/14,CL1077,Gauteng,Assault,reported
INC600184,2025/07/11,CL1179,Western Cape,Accident,resolved
INC600185,2025/06/02,CL1252,Free State,Trespass,resolved
INC600186,2025/09/18,CL1188,Western Cape,Hijacking,resolved
INC600187,2025/07/23,CL1376,Mpumalanga,Protest,resolved
INC600188,2025/09/08,CL1393,Mpumalanga,Protest,escalated
INC600189,2025/06/22,CL1383,Mpumalanga,Vandalism,escalated
INC600190,2025/08/08,CL1316,North West,Accident,resolved
INC600191,2025/04/25,CL1254,Free State,Accident,escalated
INC600192,2025/07/16,CL1262,Free State,Trespass,escalated
INC600193,2025/05/07,CL1090,Gauteng,Accident,reported
INC600194,2025/07/27,CL1117,KwaZulu-Natal,Suspicious Vehicle,resolved
INC600195,2025/06/03,CL1212,Limpopo,Assault,reported
INC600196,2025/04/30,CL1130,KwaZulu-Natal,Theft,reported
INC600197,2025/06/17,CL1309,North West,Suspicious Vehicle,resolved
INC600198,2025/04/09,CL1144,KwaZulu-Natal,Protest,escalated
INC600199,2025/09/10,CL1303,North West,Trespass,escalated
INC600200,2025/06/15,CL1042,Gauteng,Alarm Trigger,in_progress
INC600201,2025/05/20,CL1290,Free State,Accident,reported
INC600202,2025/06/10,CL1010,Gauteng,VIP Threat,in_progress
INC600203,2025/09/28,CL1265,Free State,Vandalism,resolved
INC600204,2025/06/20,CL1130,KwaZulu-Natal,Alarm Trigger,escalated
INC600205,2025/04/16,CL1372,Mpumalanga,Vandalism,escalated
INC600206,2025/09/27,CL1084,Gauteng,Hijacking,in_progress
INC600207,2025/04/08,CL1344,North West,Accident,escalated
INC600208,2025/05/13,CL1262,Free State,Accident,escalated
INC600209,2025/08/23,CL1224,Limpopo,Vandalism,in_progress
INC600210,2025/05/08,CL1103,KwaZulu-Natal,Hijacking,resolved
INC600211,2025/04/07,CL1089,Gauteng,Trespass,resolved
INC600212,2025/07/26,CL1043,Gauteng,Accident,in_progress
INC600213,2025/08/19,CL1228,Limpopo,Vandalism,resolved
INC600214,2025/07/10,CL1308,North West,Protest,escalated
INC600215,2025/05/05,CL1311,North West,VIP Threat,in_progress
INC600216,2025/07/10,CL1088,Gauteng,Suspicious Vehicle,resolved
INC600217,2025/06/27,CL1268,Free State,Alarm Trigger,resolved
INC600218,2025/09/01,CL1214,Limpopo,VIP Threat,resolved
INC600219,2025/06/26,CL1375,Mpumalanga,Accident,in_progress
INC600220,2025/07/25,CL1159,Western Cape,VIP Threat,in_progress
INC600221,2025/07/24,CL1141,KwaZulu-Natal,Alarm Trigger,reported
INC600222,2025/08/23,CL1392,Mpumalanga,Hijacking,reported
INC600223,2025/06/22,CL1092,Gauteng,Hijacking,reported
INC600224,2025/07/10,CL1057,Gauteng,Alarm Trigger,reported
INC600225,2025/04/08,CL1196,Western Cape,Vandalism,reported
INC600226,2025/06/14,CL1231,Limpopo,Trespass,reported
INC600227,2025/04/11,CL1003,Gauteng,Vandalism,resolved
INC600228,2025/08/16,CL1358,Mpumalanga,Suspicious Vehicle,reported
INC600229,2025/08/07,CL1004,Gauteng,Suspicious Vehicle,escalated
INC600230,2025/08/19,CL1072,Gauteng,Assault,escalated
INC600231,2025/06/12,CL1110,KwaZulu-Natal,Trespass,in_progress
INC600232,2025/08/25,CL1283,Free State,Accident,escalated
INC600233,2025/09/16,CL1240,Limpopo,Suspicious Vehicle,in_progress
INC600234,2025/07/01,CL1152,Western Cape,Accident,resolved
INC600235,2025/08/08,CL1034,Gauteng,Suspicious Vehicle,resolved
INC600236,2025/09/23,CL1100,KwaZulu-Natal,Hijacking,reported
INC600237,2025/07/15,CL1326,North West,Protest,reported
INC600238,2025/06/14,CL1164,Western Cape,Accident,in_progress
INC600239,2025/09/04,CL1022,Gauteng,Theft,resolved
INC600240,2025/09/18,CL1260,Free State,Accident,reported
INC600241,2025/09/01,CL1161,Western Cape,Vandalism,reported
INC600242,2025/07/16,CL1325,North West,Vandalism,reported
INC600243,2025/04/18,CL1036,Gauteng,VIP Threat,resolved
INC600244,2025/09/05,CL1307,North West,Theft,reported
INC600245,2025/04/23,CL1005,Gauteng,Theft,escalated
INC600246,2025/07/28,CL1284,Free State,Hijacking,escalated
INC600247,2025/09/10,CL1065,Gauteng,Suspicious Vehicle,reported
INC600248,2025/04/11,CL1136,KwaZulu-Natal,Theft,reported
INC600249,2025/05/28,CL1207,Limpopo,Protest,in_progress
INC600250,2025/07/17,CL1249,Limpopo,VIP Threat,in_progress
INC600251,2025/06/11,CL1305,North West,Assault,resolved
INC600252,2025/04/24,CL1351,Mpumalanga,Trespass,resolved
INC600253,2025/09/07,CL1324,North West,Accident,escalated
INC600254,2025/07/03,CL1242,Limpopo,Protest,in_progress
INC600255,2025/04/29,CL1138,KwaZulu-Natal,Assault,escalated
INC600256,2025/06/29,CL1159,Western Cape,Protest,escalated
INC600257,2025/09/28,CL1198,Western Cape,Accident,reported
INC600258,2025/08/13,CL1114,KwaZulu-Natal,Vandalism,in_progress
INC600259,2025/07/13,CL1187,Western Cape,Assault,in_progress
INC600260,2025/06/15,CL1046,Gauteng,Accident,escalated
INC600261,2025/05/25,CL1259,Free State,Hijacking,reported
INC600262,2025/09/09,CL1398,Mpumalanga,Hijacking,escalated
INC600263,2025/08/12,CL1175,Western Cape,Alarm Trigger,escalated
INC600264,2025/05/13,CL1240,Limpopo,Protest,resolved
INC600265,2025/04/25,CL1041,Gauteng,Hijacking,escalated
INC600266,2025/09/11,CL1165,Western Cape,Trespass,reported
INC600267,2025/09/18,CL1037,Gauteng,Trespass,in_progress
INC600268,2025/06/11,CL1346,North West,Vandalism,escalated
INC600269,2025/08/07,CL1157,Western Cape,Accident,in_progress
INC600270,2025/05/15,CL1194,Western Cape,VIP Threat,resolved
INC600271,2025/08/10,CL1010,Gauteng,Accident,resolved
INC600272,2025/06/26,CL1367,Mpumalanga,Alarm Trigger,in_progress
INC600273,2025/06/01,CL1264,Free State,Vandalism,in_progress
INC600274,2025/08/07,CL1108,KwaZulu-Natal,Alarm Trigger,resolved
INC600275,2025/09/17,CL1371,Mpumalanga,VIP Threat,resolved
INC600276,2025/08/07,CL1068,Gauteng,Assault,in_progress
INC600277,2025/07/15,CL1290,Free State,VIP Threat,resolved
INC600278,2025/08/22,CL1225,Limpopo,Theft,reported
INC600279,2025/06/15,CL1104,KwaZulu-Natal,Hijacking,in_progress
INC600280,2025/04/30,CL1120,KwaZulu-Natal,VIP Threat,reported
INC600281,2025/05/08,CL1046,Gauteng,Vandalism,reported
INC600282,2025/07/23,CL1212,Limpopo,Theft,reported
INC600283,2025/06/12,CL1391,Mpumalanga,Accident,escalated
INC600284,2025/07/07,CL1169,Western Cape,Suspicious Vehicle,resolved
INC600285,2025/05/24,CL1280,Free State,VIP Threat,escalated
INC600286,2025/09/26,CL1231,Limpopo,Hijacking,reported
INC600287,2025/09/25,CL1219,Limpopo,Accident,resolved
INC600288,2025/08/13,CL1072,Gauteng,Trespass,reported
INC600289,2025/09/17,CL1166,Western Cape,VIP Threat,resolved
INC600290,2025/06/12,CL1167,Western Cape,Trespass,escalated
INC600291,2025/09/16,CL1080,Gauteng,Protest,resolved
INC600292,2025/06/22,CL1283,Free State,Vandalism,reported
INC600293,2025/05/23,CL1131,KwaZulu-Natal,Vandalism,resolved
INC600294,2025/04/12,CL1011,Gauteng,Alarm Trigger,reported
INC600295,2025/06/18,CL1039,Gauteng,Accident,reported
INC600296,2025/04/24,CL1023,Gauteng,Accident,escalated
INC600297,2025/09/07,CL1390,Mpumalanga,Theft,in_progress
INC600298,2025/09/21,CL1319,North West,Suspicious Vehicle,reported
INC600299,2025/07/20,CL1288,Free State,Protest,in_progress
INC600300,2025/08/20,CL1156,Western Cape,Hijacking,escalated
INC600301,2025/08/16,CL1308,North West,Hijacking,reported
INC600302,2025/06/02,CL1378,Mpumalanga,Protest,escalated
INC600303,2025/07/16,CL1196,Western Cape,Theft,escalated
INC600304,2025/08/12,CL1116,KwaZulu-Natal,Accident,escalated
INC600305,2025/09/07,CL1135,KwaZulu-Natal,Protest,in_progress
INC600306,2025/04/07,CL1084,Gauteng,Suspicious Vehicle,resolved
INC600307,2025/07/18,CL1308,North West,Assault,escalated
INC600308,2025/04/29,CL1171,Western Cape,Trespass,resolved
INC600309,2025/05/03,CL1037,Gauteng,VIP Threat,in_progress
INC600310,2025/08/06,CL1309,North West,Vandalism,in_progress
INC600311,2025/07/27,CL1010,Gauteng,Hijacking,escalated
INC600312,2025/10/01,CL1229,Limpopo,Theft,escalated
INC600313,2025/07/31,CL1027,Gauteng,Protest,reported
INC600314,2025/08/11,CL1138,KwaZulu-Natal,Theft,in_progress
INC600315,2025/08/30,CL1089,Gauteng,Alarm Trigger,resolved
INC600316,2025/07/15,CL1339,North West,Trespass,escalated
INC600317,2025/06/04,CL1011,Gauteng,Assault,resolved
INC600318,2025/06/13,CL1373,Mpumalanga,Vandalism,escalated
INC600319,2025/08/08,CL1119,KwaZulu-Natal,Suspicious Vehicle,escalated
INC600320,2025/08/15,CL1115,KwaZulu-Natal,Trespass,resolved
INC600321,2025/09/13,CL1300,North West,Accident,resolved
INC600322,2025/06/21,CL1175,Western Cape,Protest,escalated
INC600323,2025/07/27,CL1190,Western Cape,Vandalism,reported
INC600324,2025/05/05,CL1361,Mpumalanga,Vandalism,reported
INC600325,2025/05/21,CL1111,KwaZulu-Natal,Assault,in_progress
INC600326,2025/08/06,CL1186,Western Cape,Trespass,reported
INC600327,2025/07/26,CL1380,Mpumalanga,VIP Threat,escalated
INC600328,2025/06/29,CL1058,Gauteng,Theft,resolved
INC600329,2025/04/18,CL1067,Gauteng,Trespass,reported
INC600330,2025/08/13,CL1128,KwaZulu-Natal,Alarm Trigger,reported
INC600331,2025/09/16,CL1126,KwaZulu-Natal,Vandalism,reported
INC600332,2025/06/27,CL1131,KwaZulu-Natal,Assault,resolved
INC600333,2025/04/20,CL1381,Mpumalanga,Alarm Trigger,escalated
INC600334,2025/07/21,CL1047,Gauteng,Hijacking,resolved
INC600335,2025/05/29,CL1135,KwaZulu-Natal,Vandalism,resolved
INC600336,2025/06/17,CL1082,Gauteng,Protest,reported
INC600337,2025/09/01,CL1203,Limpopo,Protest,reported
INC600338,2025/09/18,CL1117,KwaZulu-Natal,Hijacking,resolved
INC600339,2025/06/15,CL1206,Limpopo,Alarm Trigger,reported
INC600340,2025/07/31,CL1178,Western Cape,Vandalism,in_progress
INC600341,2025/09/24,CL1097,Gauteng,Accident,escalated
INC600342,2025/05/22,CL1080,Gauteng,Suspicious Vehicle,reported
INC600343,2025/05/27,CL1237,Limpopo,VIP Threat,in_progress
INC600344,2025/06/27,CL1290,Free State,Vandalism,reported
INC600345,2025/09/30,CL1028,Gauteng,Protest,in_progress
INC600346,2025/09/24,CL1187,Western Cape,Assault,reported
INC600347,2025/09/07,CL1015,Gauteng,Vandalism,in_progress
INC600348,2025/04/30,CL1105,KwaZulu-Natal,Hijacking,reported
INC600349,2025/04/27,CL1059,Gauteng,Accident,in_progress
INC600350,2025/06/23,CL1356,Mpumalanga,Accident,reported
INC600351,2025/07/11,CL1331,North West,Alarm Trigger,resolved
INC600352,2025/09/03,CL1169,Western Cape,Theft,resolved
INC600353,2025/04/16,CL1341,North West,Accident,escalated
INC600354,2025/08/08,CL1284,Free State,Assault,in_progress
INC600355,2025/08/25,CL1305,North West,Protest,escalated
INC600356,2025/07/31,CL1289,Free State,Theft,reported
INC600357,2025/04/14,CL1065,Gauteng,Trespass,in_progress
INC600358,2025/06/18,CL1221,Limpopo,Suspicious Vehicle,in_progress
INC600359,2025/08/31,CL1011,Gauteng,Vandalism,escalated
INC600360,2025/06/04,CL1016,Gauteng,Theft,resolved
INC600361,2025/07/06,CL1306,North West,Accident,in_progress
INC600362,2025/06/26,CL1294,Free State,Theft,reported
INC600363,2025/05/01,CL1174,Western Cape,Hijacking,reported
INC600364,2025/04/07,CL1342,North West,Accident,resolved
INC600365,2025/09/04,CL1231,Limpopo,Accident,resolved
INC600366,2025/06/07,CL1219,Limpopo,Protest,reported
INC600367,2025/08/25,CL1097,Gauteng,Protest,in_progress
INC600368,2025/07/13,CL1345,North West,VIP Threat,in_progress
INC600369,2025/08/08,CL1109,KwaZulu-Natal,Alarm Trigger,resolved
INC600370,2025/08/17,CL1241,Limpopo,VIP Threat,in_progress
INC600371,2025/05/28,CL1059,Gauteng,Accident,in_progress
INC600372,2025/09/21,CL1298,Free State,Hijacking,resolved
INC600373,2025/07/27,CL1097,Gauteng,Assault,in_progress
INC600374,2025/06/26,CL1108,KwaZulu-Natal,Trespass,escalated
INC600375,2025/08/28,CL1078,Gauteng,Theft,reported
INC600376,2025/06/10,CL1016,Gauteng,VIP Threat,escalated
INC600377,2025/09/23,CL1367,Mpumalanga,Hijacking,escalated
INC600378,2025/05/23,CL1201,Limpopo,Vandalism,in_progress
INC600379,2025/04/28,CL1240,Limpopo,Trespass,resolved
INC600380,2025/08/27,CL1146,KwaZulu-Natal,Alarm Trigger,escalated
INC600381,2025/08/15,CL1360,Mpumalanga,VIP Threat,in_progress
INC600382,2025/06/29,CL1388,Mpumalanga,Trespass,escalated
INC600383,2025/09/11,CL1092,Gauteng,Trespass,in_progress
INC600384,2025/06/27,CL1024,Gauteng,Accident,escalated
INC600385,2025/08/02,CL1210,Limpopo,Trespass,reported
INC600386,2025/06/10,CL1351,Mpumalanga,Protest,reported
INC600387,2025/07/03,CL1328,North West,VIP Threat,in_progress
INC600388,2025/06/30,CL1242,Limpopo,VIP Threat,reported
INC600389,2025/05/13,CL1103,KwaZulu-Natal,Protest,in_progress
INC600390,2025/05/05,CL1050,Gauteng,VIP Threat,resolved
INC600391,2025/09/15,CL1238,Limpopo,Protest,escalated
INC600392,2025/07/09,CL1228,Limpopo,Trespass,in_progress
INC600393,2025/08/28,CL1081,Gauteng,VIP Threat,resolved
INC600394,2025/09/20,CL1239,Limpopo,Theft,resolved
INC600395,2025/06/18,CL1303,North West,Assault,escalated
INC600396,2025/05/28,CL1054,Gauteng,Accident,reported
INC600397,2025/06/07,CL1189,Western Cape,Suspicious Vehicle,in_progress
INC600398,2025/06/26,CL1392,Mpumalanga,Suspicious Vehicle,reported
INC600399,2025/08/26,CL1088,Gauteng,Vandalism,escalated
INC600400,2025/06/29,CL1212,Limpopo,Trespass,resolved
INC600401,2025/09/26,CL1098,Gauteng,Vandalism,in_progress
INC600402,2025/06/20,CL1325,North West,Hijacking,escalated
INC600403,2025/09/09,CL1143,KwaZulu-Natal,VIP Threat,reported
INC600404,2025/06/15,CL1110,KwaZulu-Natal,Trespass,reported
INC600405,2025/09/10,CL1150,Western Cape,Accident,resolved
INC600406,2025/09/16,CL1281,Free State,Vandalism,reported
INC600407,2025/04/15,CL1280,Free State,Trespass,in_progress
INC600408,2025/05/06,CL1341,North West,Trespass,reported
INC600409,2025/07/16,CL1272,Free State,Hijacking,escalated
INC600410,2025/07/06,CL1051,Gauteng,Vandalism,resolved
INC600411,2025/09/24,CL1169,Western Cape,Theft,escalated
INC600412,2025/09/20,CL1012,Gauteng,Protest,escalated
INC600413,2025/08/27,CL1281,Free State,Suspicious Vehicle,reported
INC600414,2025/06/25,CL1191,Western Cape,Vandalism,escalated
INC600415,2025/05/12,CL1356,Mpumalanga,Accident,reported
INC600416,2025/06/06,CL1028,Gauteng,Hijacking,resolved
INC600417,2025/06/23,CL1016,Gauteng,Assault,escalated
INC600418,2025/08/11,CL1051,Gauteng,Accident,escalated
INC600419,2025/04/19,CL1355,Mpumalanga,Alarm Trigger,escalated
INC600420,2025/09/24,CL1313,North West,VIP Threat,resolved
