Make,Model,Body Type,Engine Type,Tyres,Headlights,Colours Available,Year Introduced,Notes,Image Path
Abarth,Abarth Model 1,SUV,Petrol,215/55 R17,Halogen,Metallic Blue; Green; Orange,2019,Standard trim,
Audi,Audi Model 12,MPV,Hybrid,225/45 R18,LED,Blue; Beige; Orange,2024,Standard trim,
Audi,Audi Model 13,SUV,Turbo Petrol,265/65 R17,Laser,Green; Silver; Metallic Grey,2008,Standard trim,
Audi,Audi Model 14,Pick-up,Petrol,225/45 R18,Adaptive LED,Blue; Green; Gold,2014,Standard trim,
Audi,Audi Model 15,Coupe,Turbo Petrol,275/40 R21,Adaptive LED,Black; Metallic Grey; Green,2021,Standard trim,
Audi,Audi Model 16,SUV,V6,235/35 R19,Laser,Metallic Silver; Orange; Gold,2010,Standard trim,
Audi,Audi Model 17,Coupe,Hybrid,215/55 R17,Matrix LED,Metallic Silver; White; Metallic Blue,2007,Standard trim,
Audi,Audi Model 18,Roadster,Hybrid,205/55 R16,Laser,Metallic Blue; Metallic Silver; White,2015,Standard trim,
Audi,Audi Model 19,Pick-up,Petrol,205/55 R16,Laser,Silver; Metallic Silver; Grey,2009,Standard trim,
Audi,Audi Model 20,MPV,Electric,275/40 R21,Halogen,Green; Blue; Orange,2007,Standard trim,
Audi,Audi Model 21,Coupe,Hybrid,205/55 R16,LED,Brown; Metallic Silver; Silver,2005,Standard trim,
Audi,Audi Model 22,MPV,V6,265/65 R17,LED,Metallic Grey; Silver; Blue,2003,Standard trim,
Audi,Audi Model 23,Sedan,Petrol,235/35 R19,Halogen,White; Yellow; Grey,2017,Standard trim,
Audi,Audi Model 24,Convertible,Diesel,265/65 R17,LED,Metallic Grey; Silver; White,2022,Standard trim,
Audi,Audi Model 25,MPV,Diesel,245/40 R20,LED,Yellow; Black; Metallic Blue,2020,Standard trim,
Audi,Audi Model 26,Pick-up,Hybrid,205/55 R16,Adaptive LED,Black; Orange; Brown,2015,Standard trim,
Audi,Audi Model 27,MPV,Diesel,215/55 R17,LED,Yellow; Brown; Red,2013,Standard trim,
Audi,Audi Model 28,Hatchback,Turbo Petrol,205/55 R16,Adaptive LED,Metallic Grey; Yellow; Black,2009,Standard trim,
Audi,Audi Model 29,SUV,Diesel,225/45 R18,Laser,Red; Blue; Yellow,2017,Standard trim,
Audi,Audi Model 30,Roadster,Hybrid,225/45 R18,Halogen,Blue; Green; Orange,2020,Standard trim,
Audi,Audi Model 31,Pick-up,Petrol,205/55 R16,Halogen,Red; Grey; Black,2000,Standard trim,
Audi,Audi Model 32,Sedan,Turbo Petrol,225/45 R18,Matrix LED,Beige; Gold; Orange,2015,Standard trim,
Audi,Audi Model 33,Roadster,Turbo Petrol,265/65 R17,LED,Yellow; Metallic Grey; Brown,2015,Standard trim,
Audi,Audi Model 34,Roadster,V6,225/45 R18,LED,Yellow; White; Metallic Silver,2018,Standard trim,
Audi,Audi Model 35,MPV,Diesel,245/40 R20,Adaptive LED,Black; Gold; Metallic Grey,2021,Standard trim,
Audi,Audi Model 36,Convertible,V8,215/55 R17,LED,Orange; Metallic Blue; Beige,2002,Standard trim,
Audi,Audi Model 37,Sedan,Electric,245/40 R20,Halogen,Grey; Silver; Blue,2014,Standard trim,
Audi,Audi Model 38,MPV,V8,275/40 R21,Laser,Metallic Grey; Green; Orange,2011,Standard trim,
Audi,Audi Model 39,MPV,Diesel,275/40 R21,Adaptive LED,Orange; Metallic Silver; Gold,2004,Standard trim,
Audi,Audi Model 40,SUV,V8,235/35 R19,Adaptive LED,White; Grey; Silver,2006,Standard trim,
Audi,Audi Model 41,Coupe,Diesel,205/55 R16,Adaptive LED,Yellow; White; Green,2017,Standard trim,
Audi,Audi Model 42,Sedan,V8,275/40 R21,Adaptive LED,Green; Metallic Silver; Beige,2007,Standard trim,
Audi,Audi Model 43,SUV,V8,235/35 R19,Halogen,Black; Metallic Grey; Metallic Silver,2024,Standard trim,
Audi,Audi Model 44,Pick-up,Petrol,265/65 R17,Adaptive LED,Silver; Grey; Blue,2024,Standard trim,
Audi,Audi Model 45,Coupe,Turbo Petrol,245/40 R20,Halogen,Red; Silver; Black,2012,Standard trim,
Audi,Audi Model 46,Convertible,Turbo Petrol,225/45 R18,Laser,Red; Metallic Silver; Gold,2005,Standard trim,
Audi,Audi Model 47,SUV,Petrol,245/40 R20,Adaptive LED,Grey; Orange; Black,2016,Standard trim,
Audi,Audi Model 48,Coupe,Turbo Petrol,215/55 R17,LED,Silver; White; Red,2024,Standard trim,
Audi,Audi Model 49,Roadster,Turbo Petrol,275/40 R21,Laser,Brown; Metallic Blue; Green,2021,Standard trim,
Audi,Audi Model 50,Roadster,Electric,275/40 R21,LED,Grey; Red; Blue,2009,Standard trim,
Audi,Audi Model 51,Coupe,Electric,265/65 R17,Halogen,Metallic Blue; Green; Yellow,2021,Standard trim,
Audi,Audi Model 52,Coupe,V8,265/65 R17,Laser,Yellow; Metallic Silver; Beige,2005,Standard trim,
Audi,Audi Model 53,SUV,Turbo Petrol,205/55 R16,Adaptive LED,Black; Silver; White,2020,Standard trim,
Audi,Audi Model 54,Pick-up,Petrol,245/40 R20,Halogen,Brown; Metallic Silver; Yellow,2001,Standard trim,
Audi,Audi Model 55,Hatchback,Diesel,205/55 R16,LED,White; Metallic Grey; Red,2015,Standard trim,
Audi,Audi Model 56,MPV,V6,225/45 R18,Adaptive LED,Red; Black; Brown,2002,Standard trim,
Audi,Audi Model 57,MPV,V8,235/35 R19,Matrix LED,Metallic Blue; Grey; Metallic Silver,2018,Standard trim,
Audi,Audi Model 58,Roadster,Electric,225/45 R18,Adaptive LED,Green; White; Beige,2004,Standard trim,
Audi,Audi Model 59,Coupe,Hybrid,205/55 R16,Laser,Yellow; Beige; Red,2017,Standard trim,
Audi,Audi Model 60,SUV,Petrol,205/55 R16,Matrix LED,Green; Silver; White,2019,Standard trim,
Audi,Audi Model 61,MPV,V6,245/40 R20,Halogen,Black; White; Blue,2005,Standard trim,
Audi,Audi Model 62,Pick-up,Hybrid,265/65 R17,LED,Blue; Beige; White,2011,Standard trim,
Audi,Audi Model 63,Sedan,V6,205/55 R16,Adaptive LED,Metallic Blue; Grey; Metallic Grey,2022,Standard trim,
Audi,Audi Model 64,Roadster,Petrol,215/55 R17,Laser,Metallic Silver; Grey; Metallic Grey,2014,Standard trim,
Audi,Audi Model 65,SUV,V8,265/65 R17,Adaptive LED,Silver; Yellow; Green,2007,Standard trim,
Audi,Audi Model 66,Convertible,Electric,235/35 R19,LED,Yellow; Beige; Blue,2021,Standard trim,
Audi,Audi Model 67,Roadster,Diesel,235/35 R19,Adaptive LED,Gold; Green; Metallic Grey,2013,Standard trim,
Audi,Audi Model 68,Roadster,Diesel,235/35 R19,Adaptive LED,Blue; Beige; Green,2005,Standard trim,
Audi,Audi Model 69,Roadster,V6,275/40 R21,Halogen,Metallic Grey; Yellow; Grey,2011,Standard trim,
Audi,Audi Model 70,Pick-up,Diesel,225/45 R18,LED,Metallic Grey; Brown; Metallic Blue,2014,Standard trim,
Audi,Audi Model 71,Convertible,Diesel,205/55 R16,LED,Blue; Green; Grey,2022,Standard trim,
Audi,Audi Model 72,Convertible,Petrol,245/40 R20,Matrix LED,Brown; Grey; Metallic Blue,2008,Standard trim,
Audi,Audi Model 73,Coupe,Turbo Petrol,215/55 R17,Halogen,Black; Yellow; Metallic Blue,2023,Standard trim,
Audi,Audi Model 74,Roadster,Petrol,265/65 R17,Halogen,Metallic Grey; Silver; Black,2022,Standard trim,
Audi,Audi Model 75,Roadster,Hybrid,245/40 R20,Laser,Metallic Grey; Red; Silver,2004,Standard trim,
Audi,Audi Model 76,Roadster,Diesel,225/45 R18,Matrix LED,Metallic Grey; Blue; Yellow,2004,Standard trim,
Audi,Audi Model 77,Convertible,Hybrid,265/65 R17,Halogen,Brown; Silver; Metallic Grey,2017,Standard trim,
Audi,Audi Model 78,MPV,Hybrid,205/55 R16,Adaptive LED,Green; Metallic Blue; Yellow,2012,Standard trim,
Audi,Audi Model 79,Convertible,Diesel,235/35 R19,Adaptive LED,Silver; Green; Beige,2011,Standard trim,
Audi,Audi Model 80,Convertible,V8,245/40 R20,Adaptive LED,Black; Grey; Yellow,2005,Standard trim,
Audi,Audi Model 81,Hatchback,V6,205/55 R16,Halogen,White; Metallic Silver; Yellow,2016,Standard trim,
BAIC,BAIC Model 1,Convertible,Turbo Petrol,225/45 R18,Matrix LED,Yellow; Blue; Brown,2012,Standard trim,
BAIC,BAIC Model 2,Roadster,Petrol,215/55 R17,Halogen,Red; Beige; Metallic Grey,2011,Standard trim,
BAIC,BAIC Model 3,Sedan,Electric,215/55 R17,Halogen,Yellow; Silver; Beige,2013,Standard trim,
BAIC,BAIC Model 4,SUV,Diesel,245/40 R20,Halogen,Metallic Grey; Silver; Metallic Blue,2018,Standard trim,
BAIC,BAIC Model 5,MPV,Petrol,275/40 R21,Laser,Brown; Metallic Silver; Beige,2012,Standard trim,
BAIC,BAIC Model 6,Coupe,V8,235/35 R19,Adaptive LED,Grey; Metallic Silver; Black,2010,Standard trim,
BAIC,BAIC Model 7,Coupe,Diesel,275/40 R21,Matrix LED,Metallic Blue; Grey; Metallic Grey,2018,Standard trim,
BAIC,BAIC Model 8,SUV,Petrol,235/35 R19,Matrix LED,Grey; Blue; Green,2012,Standard trim,
BAIC,BAIC Model 9,Hatchback,Hybrid,225/45 R18,Halogen,Green; Black; Yellow,2023,Standard trim,
Bentley,Bentley Model 1,Hatchback,Turbo Petrol,275/40 R21,Laser,Beige; Blue; Silver,2018,Standard trim,
Bentley,Bentley Model 2,Roadster,Hybrid,205/55 R16,Adaptive LED,Red; Black; Brown,2018,Standard trim,
Bentley,Bentley Model 3,Pick-up,Electric,245/40 R20,Adaptive LED,Brown; Black; Metallic Silver,2024,Standard trim,
Bentley,Bentley Model 4,Sedan,V8,275/40 R21,Adaptive LED,Metallic Grey; Beige; Gold,2017,Standard trim,
Bentley,Bentley Model 5,Sedan,Electric,245/40 R20,Halogen,Yellow; Metallic Blue; Gold,2023,Standard trim,
Bentley,Bentley Model 6,Coupe,V6,215/55 R17,Halogen,Grey; Yellow; Beige,2023,Standard trim,
Bentley,Bentley Model 7,MPV,Diesel,205/55 R16,Halogen,Silver; Orange; Red,2003,Standard trim,
BMW,BMW Model 1,Pick-up,Electric,275/40 R21,Laser,Brown; Beige; Green,2006,Standard trim,
BMW,BMW Model 2,MPV,Turbo Petrol,245/40 R20,Halogen,Orange; Metallic Grey; Blue,2013,Standard trim,
BMW,BMW Model 3,Pick-up,Turbo Petrol,205/55 R16,LED,Yellow; Metallic Blue; Metallic Silver,2017,Standard trim,
BMW,BMW Model 4,Coupe,V6,235/35 R19,Laser,Black; Metallic Silver; Red,2004,Standard trim,
BMW,BMW Model 5,Sedan,V8,275/40 R21,Matrix LED,Yellow; Silver; Blue,2018,Standard trim,
BMW,BMW Model 6,Hatchback,Diesel,275/40 R21,LED,Orange; Metallic Silver; Brown,2006,Standard trim,
BMW,BMW Model 7,MPV,Petrol,205/55 R16,Halogen,White; Yellow; Black,2012,Standard trim,
BMW,BMW Model 8,Roadster,Petrol,235/35 R19,Adaptive LED,Black; Red; Metallic Silver,2016,Standard trim,
BMW,BMW Model 9,Coupe,V6,235/35 R19,Halogen,Beige; Brown; Gold,2005,Standard trim,
BMW,BMW Model 10,Roadster,Hybrid,225/45 R18,Matrix LED,Yellow; Black; Gold,2017,Standard trim,
BMW,BMW Model 11,Hatchback,Petrol,205/55 R16,Laser,Metallic Blue; Green; Gold,2005,Standard trim,
BMW,BMW Model 12,Coupe,V6,245/40 R20,LED,Grey; White; Gold,2020,Standard trim,
BMW,BMW Model 13,Coupe,Hybrid,215/55 R17,Matrix LED,Metallic Grey; Blue; White,2008,Standard trim,
BMW,BMW Model 14,MPV,Hybrid,225/45 R18,Adaptive LED,Black; Yellow; Beige,2012,Standard trim,
BMW,BMW Model 15,SUV,Diesel,245/40 R20,Matrix LED,Red; Yellow; Gold,2008,Standard trim,
BMW,BMW Model 16,Hatchback,Turbo Petrol,275/40 R21,Matrix LED,Metallic Grey; Metallic Blue; Grey,2015,Standard trim,
BMW,BMW Model 17,Hatchback,Electric,235/35 R19,LED,Black; Metallic Grey; Beige,2013,Standard trim,
BMW,BMW Model 18,Sedan,V8,235/35 R19,Matrix LED,Orange; Red; Grey,2012,Standard trim,
BMW,BMW Model 19,SUV,V8,245/40 R20,Laser,Red; Beige; Gold,2010,Standard trim,
BMW,BMW Model 20,MPV,Electric,205/55 R16,Adaptive LED,Metallic Grey; Metallic Blue; Silver,2000,Standard trim,
BMW,BMW Model 21,Hatchback,Electric,215/55 R17,Adaptive LED,Beige; Grey; Blue,2013,Standard trim,
BMW,BMW Model 22,Hatchback,Turbo Petrol,245/40 R20,Matrix LED,Red; Grey; Orange,2023,Standard trim,
BMW,BMW Model 23,Sedan,Electric,215/55 R17,Adaptive LED,Green; Brown; Gold,2005,Standard trim,
BMW,BMW Model 24,SUV,Diesel,275/40 R21,Adaptive LED,Grey; Gold; Metallic Grey,2014,Standard trim,
BMW,BMW Model 25,SUV,Electric,265/65 R17,Matrix LED,Grey; Beige; Black,2020,Standard trim,
BMW,BMW Model 26,Hatchback,Petrol,205/55 R16,Matrix LED,Silver; Metallic Grey; Beige,2024,Standard trim,
BMW,BMW Model 27,Hatchback,Turbo Petrol,265/65 R17,Halogen,Green; Brown; Red,2022,Standard trim,
BMW,BMW Model 28,SUV,V8,245/40 R20,Adaptive LED,Blue; Green; Yellow,2006,Standard trim,
BMW,BMW Model 29,SUV,Diesel,225/45 R18,Halogen,Orange; Green; Gold,2014,Standard trim,
BMW,BMW Model 30,Convertible,V6,225/45 R18,Matrix LED,Gold; Beige; Red,2019,Standard trim,
BMW,BMW Model 31,Hatchback,V6,205/55 R16,Adaptive LED,Green; Metallic Silver; Gold,2004,Standard trim,
BMW,BMW Model 32,Roadster,Electric,225/45 R18,LED,Red; Metallic Silver; Yellow,2008,Standard trim,
BMW,BMW Model 33,Hatchback,V6,265/65 R17,Adaptive LED,Metallic Blue; Grey; Red,2001,Standard trim,
BMW,BMW Model 34,Hatchback,Electric,265/65 R17,Adaptive LED,Yellow; Beige; Orange,2012,Standard trim,
BMW,BMW Model 35,Convertible,Petrol,205/55 R16,Halogen,Orange; Brown; Blue,2016,Standard trim,
BMW,BMW Model 36,MPV,Hybrid,205/55 R16,Matrix LED,Beige; Black; Gold,2017,Standard trim,
BMW,BMW Model 37,MPV,Petrol,275/40 R21,Halogen,White; Blue; Red,2024,Standard trim,
BMW,BMW Model 38,Sedan,Diesel,245/40 R20,Adaptive LED,Silver; Beige; Gold,2000,Standard trim,
BMW,BMW Model 39,Roadster,V8,245/40 R20,Laser,Gold; Grey; Blue,2013,Standard trim,
BMW,BMW Model 40,Pick-up,Diesel,275/40 R21,Adaptive LED,Red; Gold; Blue,2010,Standard trim,
BMW,BMW Model 41,Hatchback,V8,245/40 R20,Matrix LED,Orange; Silver; Metallic Silver,2013,Standard trim,
BMW,BMW Model 42,Hatchback,V6,215/55 R17,Halogen,Green; Orange; Metallic Blue,2007,Standard trim,
BMW,BMW Model 43,Convertible,V8,275/40 R21,Laser,Metallic Grey; Grey; Brown,2010,Standard trim,
BMW,BMW Model 44,Hatchback,Diesel,215/55 R17,Adaptive LED,Black; Metallic Silver; Orange,2021,Standard trim,
BMW,BMW Model 45,SUV,Electric,275/40 R21,Halogen,Black; Red; White,2000,Standard trim,
BMW,BMW Model 46,MPV,Petrol,225/45 R18,Adaptive LED,Orange; Grey; Metallic Blue,2021,Standard trim,
BMW,BMW Model 47,MPV,Electric,225/45 R18,LED,Gold; Black; Silver,2012,Standard trim,
BMW,BMW Model 48,MPV,Electric,265/65 R17,LED,Blue; Brown; Black,2001,Standard trim,
BMW,BMW Model 49,Coupe,V6,265/65 R17,LED,Silver; Yellow; Red,2009,Standard trim,
BMW,BMW Model 50,Convertible,Electric,235/35 R19,Laser,Red; Beige; Metallic Silver,2013,Standard trim,
BMW,BMW Model 51,Convertible,Electric,245/40 R20,Halogen,Metallic Blue; Brown; Beige,2018,Standard trim,
BMW,BMW Model 52,MPV,Electric,245/40 R20,Adaptive LED,Black; Gold; Yellow,2010,Standard trim,
BMW,BMW Model 53,Coupe,Electric,225/45 R18,Adaptive LED,Brown; Metallic Grey; Red,2008,Standard trim,
BMW,BMW Model 54,MPV,Hybrid,245/40 R20,Adaptive LED,Beige; Metallic Blue; Yellow,2000,Standard trim,
BMW,BMW Model 55,Sedan,V6,215/55 R17,Laser,Metallic Grey; White; Metallic Silver,2002,Standard trim,
BMW,BMW Model 56,Coupe,Hybrid,265/65 R17,LED,Beige; Blue; Grey,2012,Standard trim,
BMW,BMW Model 57,Coupe,Turbo Petrol,205/55 R16,LED,White; Metallic Grey; Beige,2016,Standard trim,
BMW,BMW Model 58,Pick-up,Hybrid,215/55 R17,Matrix LED,Beige; Grey; Red,2021,Standard trim,
BMW,BMW Model 59,Hatchback,Petrol,235/35 R19,Adaptive LED,Brown; Grey; Green,2017,Standard trim,
BMW,BMW Model 60,MPV,Electric,235/35 R19,Halogen,Green; Blue; Metallic Grey,2015,Standard trim,
BMW,BMW Model 61,MPV,Hybrid,225/45 R18,LED,Metallic Silver; Orange; Grey,2001,Standard trim,
BMW,BMW Model 62,Pick-up,Turbo Petrol,215/55 R17,Laser,Beige; Yellow; Brown,2018,Standard trim,
BMW,BMW Model 63,MPV,V6,225/45 R18,Laser,Brown; Silver; Grey,2015,Standard trim,
BMW,BMW Model 64,Convertible,Turbo Petrol,245/40 R20,Laser,Green; Yellow; Red,2009,Standard trim,
BMW,BMW Model 65,Coupe,V8,265/65 R17,Halogen,Metallic Blue; Brown; Grey,2009,Standard trim,
BMW,BMW Model 66,Coupe,Electric,215/55 R17,Laser,Beige; White; Brown,2006,Standard trim,
BMW,BMW Model 67,Pick-up,Hybrid,275/40 R21,Laser,Metallic Grey; Silver; Grey,2006,Standard trim,
BMW,BMW Model 68,Sedan,Turbo Petrol,275/40 R21,Adaptive LED,Gold; Yellow; White,2003,Standard trim,
BMW,BMW Model 69,SUV,Petrol,235/35 R19,Matrix LED,Black; Gold; Metallic Blue,2020,Standard trim,
BMW,BMW Model 70,Coupe,V8,225/45 R18,LED,Blue; Yellow; Gold,2016,Standard trim,
BMW,BMW Model 71,SUV,Diesel,215/55 R17,LED,White; Black; Yellow,2016,Standard trim,
BMW,BMW Model 72,Roadster,Electric,235/35 R19,Matrix LED,Yellow; Metallic Blue; Blue,2007,Standard trim,
BMW,BMW Model 73,Roadster,Diesel,205/55 R16,LED,Black; Metallic Blue; Metallic Silver,2010,Standard trim,
BMW,BMW Model 74,SUV,Diesel,265/65 R17,LED,Grey; Metallic Grey; Silver,2006,Standard trim,
BMW,BMW Model 75,Convertible,Turbo Petrol,275/40 R21,Halogen,White; Orange; Metallic Grey,2021,Standard trim,
BMW,BMW Model 76,Pick-up,Hybrid,245/40 R20,LED,Grey; Orange; Blue,2003,Standard trim,
BMW,BMW Model 77,SUV,Petrol,215/55 R17,Halogen,Blue; Brown; White,2018,Standard trim,
BMW,BMW Model 78,SUV,V8,245/40 R20,Adaptive LED,Green; Gold; Red,2004,Standard trim,
BMW,BMW Model 79,Coupe,Electric,225/45 R18,Matrix LED,Blue; Orange; Beige,2023,Standard trim,
BMW,BMW Model 80,Sedan,Diesel,235/35 R19,Adaptive LED,Orange; Beige; Metallic Silver,2001,Standard trim,
BMW,BMW Model 81,MPV,Diesel,225/45 R18,Laser,Silver; Black; Green,2014,Standard trim,
BMW,BMW Model 82,Sedan,Hybrid,275/40 R21,Matrix LED,Metallic Blue; Silver; Grey,2007,Standard trim,
BMW,BMW Model 83,MPV,Petrol,245/40 R20,Halogen,Red; Silver; Green,2004,Standard trim,
BMW,BMW Model 84,MPV,V6,265/65 R17,Matrix LED,Silver; Metallic Silver; Blue,2024,Standard trim,
BMW,BMW Model 85,MPV,Petrol,265/65 R17,Laser,White; Metallic Blue; Metallic Silver,2001,Standard trim,
BMW,BMW Model 86,Roadster,V8,275/40 R21,Halogen,Yellow; Red; Metallic Silver,2016,Standard trim,
BMW,BMW Model 87,Pick-up,Electric,205/55 R16,LED,Gold; Green; Grey,2011,Standard trim,
BMW,BMW Model 88,MPV,Electric,275/40 R21,Halogen,Grey; Beige; Metallic Blue,2022,Standard trim,
BMW,BMW Model 89,Roadster,Electric,245/40 R20,Halogen,Brown; Metallic Silver; Orange,2008,Standard trim,
BMW,BMW Model 90,Roadster,Hybrid,235/35 R19,Adaptive LED,Blue; Beige; Black,2007,Standard trim,
BMW,BMW Model 91,Pick-up,V6,225/45 R18,Matrix LED,Red; White; Green,2013,Standard trim,
BMW,BMW Model 92,Roadster,Petrol,275/40 R21,Adaptive LED,Orange; Metallic Blue; Grey,2018,Standard trim,
BMW,BMW Model 93,SUV,Electric,215/55 R17,LED,Blue; Grey; Metallic Grey,2000,Standard trim,
BMW,BMW Model 94,Sedan,Hybrid,225/45 R18,Halogen,Metallic Grey; Orange; Grey,2023,Standard trim,
BMW,BMW Model 95,Hatchback,Electric,265/65 R17,Matrix LED,Blue; Metallic Silver; Black,2002,Standard trim,
BMW,BMW Model 96,Sedan,Hybrid,235/35 R19,Laser,Metallic Blue; White; Yellow,2021,Standard trim,
BMW,BMW Model 97,SUV,Hybrid,235/35 R19,Matrix LED,Green; Grey; Black,2000,Standard trim,
BMW,BMW Model 98,Roadster,Petrol,205/55 R16,Matrix LED,Metallic Blue; Yellow; Silver,2010,Standard trim,
BMW,BMW Model 99,MPV,Petrol,265/65 R17,Adaptive LED,Beige; Orange; Brown,2015,Standard trim,
BMW,BMW Model 100,Roadster,Electric,205/55 R16,Matrix LED,Brown; Black; Beige,2011,Standard trim,
BMW,BMW Model 101,Pick-up,Petrol,235/35 R19,Adaptive LED,Blue; Silver; Metallic Silver,2003,Standard trim,
BMW,BMW Model 102,Roadster,V6,265/65 R17,Matrix LED,Brown; White; Black,2005,Standard trim,
BMW,BMW Model 103,Sedan,Diesel,245/40 R20,Matrix LED,Blue; Metallic Grey; Metallic Silver,2013,Standard trim,
BMW,BMW Model 104,Hatchback,Diesel,235/35 R19,LED,Red; Gold; Metallic Blue,2005,Standard trim,
BMW,BMW Model 105,Coupe,Hybrid,215/55 R17,Halogen,Gold; Blue; Yellow,2024,Standard trim,
BMW,BMW Model 106,Coupe,Electric,215/55 R17,Matrix LED,Metallic Grey; Gold; Silver,2005,Standard trim,
BMW,BMW Model 107,Pick-up,V8,205/55 R16,Halogen,Metallic Silver; Brown; Red,2000,Standard trim,
BMW,BMW Model 108,MPV,V6,275/40 R21,Laser,Metallic Blue; Grey; Silver,2013,Standard trim,
BMW,BMW Model 109,SUV,Hybrid,265/65 R17,Laser,Green; Silver; Metallic Silver,2012,Standard trim,
